"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.64846,0.84749,0.31267,0.57551,0.82089,1.0064,0.96211,1.3969,1.078,0.97329,0.73895,0.66747,0.48055,0.32028,0.80265,0.56413,0.41644,0.4655,1.5224,0.80547,0.85192,1.0943,1950
0.72179,0.88562,0.70475,0.60674,0.86197,1.071,0.81461,1.3406,1.0034,0.85561,0.66114,0.63324,0.69114,0.21475,0.77319,0.28493,0.46801,0.6361,1.5268,0.8395,1.0169,1.0373,1951
0.68546,0.92245,0.66867,0.5914,0.92522,1.0337,0.70644,1.2946,0.84494,0.70924,0.95334,0.87021,0.6433,0.34387,0.64698,0.16544,0.65625,0.23589,1.6901,0.9994,0.92578,0.79981,1952
0.87767,0.87275,0.64534,0.59515,0.86161,0.79521,0.75749,1.2802,0.9882,0.75038,1.0019,0.7102,0.6161,0.46478,0.98222,0.53238,0.49288,0.30256,1.6834,0.67563,1.0288,1.1836,1953
0.69272,0.89956,0.39448,0.64885,0.78472,1.0832,0.87162,1.3681,1.0459,0.98586,0.81496,0.55227,0.75691,0.68452,0.67704,0.4373,0.4725,0.50286,1.84,0.88891,0.91913,1.1541,1954
0.69628,0.86322,0.4274,0.56471,0.85227,0.96836,0.82824,1.099,0.69756,0.84483,0.92773,0.66902,0.71003,0.3668,0.72184,0.45111,0.58906,0.4271,1.5503,0.83999,0.66083,0.99684,1955
0.95588,0.69684,0.43676,0.58938,0.74973,0.98347,0.99148,1.3352,0.77937,0.83431,0.68172,0.64282,0.69309,0.5244,0.79583,0.43152,0.17366,0.45106,1.6457,1.1083,0.69331,0.91306,1956
0.66861,1.0399,0.41801,0.55874,1.0028,0.79127,1.059,1.1767,0.85753,0.6637,0.89316,0.63944,0.64048,0.62905,0.75708,0.33561,0.39801,0.16818,1.3894,0.79292,0.80343,0.86005,1957
0.66955,0.72037,0.58152,0.72403,0.78099,0.86316,1.0189,0.81387,1.0416,0.8647,0.94819,0.60862,0.79203,0.58305,0.4043,0.5582,0.56635,0.34281,1.4896,0.89789,0.93352,1.1893,1958
0.88869,1.0046,0.39903,0.46885,0.76636,0.92608,0.96582,1.5485,1.0502,0.84658,0.84449,0.58938,0.62775,0.44926,0.81199,0.5899,0.44476,0.57749,1.5806,1.1107,0.82683,0.83569,1959
0.77763,0.80039,0.57298,0.63065,0.93047,0.96476,1.0401,1.1135,1.1053,0.79647,0.66693,0.74823,0.74687,0.45643,0.72272,0.44767,0.3598,0.43378,1.667,0.90848,0.66872,1.1117,1960
0.7989,0.80349,0.31681,0.54331,0.64584,0.97087,0.96913,1.0253,0.97908,0.92044,0.74109,0.72052,0.78476,0.47096,0.95042,0.33513,0.44097,0.37468,1.7753,1.0201,1.0915,0.82982,1961
0.64733,0.70746,0.54661,0.77331,0.83844,0.82563,0.97456,1.088,0.86674,0.82234,1.0489,0.72133,0.58812,0.73376,0.78621,0.29271,0.28411,0.41279,1.7558,0.83276,0.89298,0.85745,1962
0.77537,0.83299,0.32967,0.53693,0.96196,0.99822,0.9665,0.98604,1.0843,0.84477,0.84791,0.75732,0.80708,0.38675,0.64014,0.35343,0.57829,0.48001,1.582,0.80416,1.103,1.0595,1963
0.57421,0.99253,0.35909,0.58943,0.72126,1.0362,0.83464,1.405,0.70517,0.93942,0.97067,0.60787,0.66728,0.47248,0.49219,0.54474,0.48406,0.35077,1.8403,0.62533,1.1367,0.71287,1964
0.50947,1.0233,0.5365,0.55458,0.77029,1.0423,0.95623,0.64591,0.99333,0.83458,0.70126,0.85353,0.55716,0.35534,0.563,0.3707,0.49687,0.53837,1.3274,0.88282,0.79281,0.90235,1965
0.66609,0.94398,0.56128,0.53857,0.86491,1.0999,0.79543,0.99567,0.7897,0.79092,0.73292,0.76585,0.7289,0.35692,0.43814,0.45807,0.28381,0.29267,1.7055,1.117,0.62715,0.82476,1966
0.87219,0.87937,0.56993,0.54529,0.97489,0.86412,0.92078,1.1033,0.89305,0.92122,0.87637,0.67341,0.69274,0.49904,0.43305,0.4349,0.32721,0.56534,1.5369,0.86602,0.86125,0.81594,1967
0.69406,0.75928,0.39447,0.57085,0.56122,1.0172,0.78265,1.0829,0.92797,0.82503,0.76685,0.68708,0.7769,0.36903,0.70262,0.32803,0.57172,0.55602,1.7062,0.79701,0.6727,1.1006,1968
0.65428,0.58652,0.43496,0.48018,1.0202,0.9649,0.78452,1.4996,0.93352,0.87126,0.69473,0.70805,0.52533,0.33823,0.60707,0.5551,0.29511,0.51256,2.0216,0.7944,0.90937,0.82548,1969
0.65363,0.92862,0.49963,0.54213,0.64143,0.89783,0.95574,1.3085,0.93271,0.81609,0.66705,0.77418,0.73694,0.3811,0.68513,0.26717,0.31363,0.4202,1.6465,1.112,0.95009,0.77374,1970
0.90438,0.88012,0.43412,0.58393,0.67466,1.1193,0.96142,1.6024,0.90138,0.84162,0.77426,0.3911,0.68448,0.55072,0.89034,0.26564,0.40645,0.3845,1.5245,0.78152,0.77679,0.79098,1971
0.91969,0.83489,0.5596,0.56788,0.79721,1.1988,0.85532,1.1555,1.0367,0.82741,0.68922,0.62639,0.64779,0.22586,0.70529,0.45225,0.25373,0.55608,1.4021,0.97508,0.95776,0.92058,1972
0.73906,0.81329,0.53186,0.78454,0.80413,0.91696,0.89213,0.9639,1.0424,0.76085,0.62261,0.69532,0.76089,0.45257,0.76997,0.51088,0.31601,0.33713,1.3469,0.94167,0.93569,1.0715,1973
