"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.34781,0.32085,0.43115,0.1205,0.19792,0.27407,0.68548,0.57536,0.4625,0.33037,0.31163,0.3236,0.5779,0.16454,0.23989,0.14386,0.20168,0.18037,0.54571,0.36852,0.42135,0.29364,1950
0.32951,0.32479,0.24166,0.19458,0.16755,0.36102,0.53922,0.59166,0.33296,0.40244,0.32754,0.44926,0.4246,0.1502,0.17181,0.14595,0.16629,0.3214,0.33935,0.43469,0.32339,0.28147,1951
0.38535,0.37004,0.3296,0.22291,0.21306,0.42299,0.70072,0.58997,0.40205,0.34966,0.28506,0.40139,0.49175,0.12287,0.23983,0.09369,0.28971,0.26829,0.41894,0.35252,0.34382,0.33809,1952
0.50066,0.30385,0.3902,0.18316,0.30908,0.33432,0.76469,0.51592,0.3462,0.42655,0.25038,0.28891,0.31266,0.16045,0.18174,0.15727,0.25015,0.21087,0.66843,0.40254,0.30883,0.20969,1953
0.43007,0.35122,0.31071,0.21453,0.24284,0.3392,0.52119,0.48225,0.50023,0.39178,0.32302,0.36745,0.50713,0.20954,0.16906,0.023556,0.22217,0.27625,0.51213,0.39808,0.42298,0.39627,1954
0.49654,0.37202,0.27398,0.20046,0.10411,0.54932,0.65253,0.56202,0.27232,0.41083,0.26828,0.35297,0.49728,0.1642,0.21954,0.13377,0.20741,0.26808,0.47186,0.29788,0.21338,0.24437,1955
0.34172,0.33444,0.38805,0.18758,0.15497,0.41606,0.63061,0.54493,0.20378,0.27759,0.36771,0.45506,0.491,0.1731,0.19926,0.11579,0.28715,0.27949,0.48185,0.43153,0.3822,0.19272,1956
0.43742,0.43849,0.29756,0.18283,0.26486,0.33036,0.59355,0.49213,0.18865,0.2777,0.24215,0.25848,0.39609,0.18156,0.26564,0.14894,0.16045,0.33262,0.44002,0.37015,0.3561,0.27494,1957
0.35057,0.459,0.35334,0.17841,0.31875,0.28973,0.59613,0.45907,0.48099,0.32766,0.32084,0.37797,0.58246,0.15339,0.2601,0.089132,0.15474,0.23397,0.52264,0.44026,0.38749,0.34277,1958
0.53059,0.45943,0.3516,0.25822,0.23597,0.44748,0.61733,0.54418,0.38005,0.28262,0.2652,0.4961,0.4179,0.21015,0.2053,0.18709,0.2988,0.22585,0.38139,0.37021,0.39475,0.42368,1959
0.36454,0.47693,0.30976,0.20576,0.35732,0.45303,0.72916,0.57368,0.35761,0.20652,0.10207,0.51787,0.49744,0.1894,0.24226,0.08091,0.12825,0.28438,0.23966,0.265,0.39205,0.18722,1960
0.47126,0.40144,0.27423,0.22189,0.10586,0.32467,0.7569,0.63881,0.45156,0.26561,0.11895,0.49258,0.43335,0.22872,0.20779,0.11449,0.18396,0.22353,0.41928,0.2977,0.28516,0.3195,1961
0.38002,0.38355,0.41291,0.23072,0.10848,0.32217,0.54462,0.65647,0.28019,0.22825,0.38563,0.40367,0.49112,0.15679,0.27014,0.10322,0.22647,0.30649,0.4954,0.41785,0.29586,0.38244,1962
0.37619,0.4521,0.32099,0.19288,0.24635,0.37857,0.7709,0.66814,0.3925,0.17923,0.44316,0.32562,0.39393,0.18664,0.23332,0.16895,0.34405,0.21055,0.63955,0.34294,0.48577,-0.064144,1963
0.58684,0.30603,0.42057,0.21473,0.2295,0.3858,0.53309,0.64543,0.39857,0.26808,0.37576,0.31346,0.44526,0.15287,0.30443,0.12319,0.26517,0.2524,0.54597,0.40711,0.35726,0.29892,1964
0.33516,0.36278,0.36411,0.25073,0.18977,0.34043,0.46602,0.36792,0.44028,0.25399,0.16286,0.44637,0.48982,0.14456,0.26784,0.088915,0.3641,0.21232,0.24008,0.32503,0.3861,0.11904,1965
0.48448,0.41278,0.39522,0.23756,0.18459,0.41647,0.72146,0.58907,0.29431,0.37384,0.33707,0.53333,0.59888,0.18472,0.23177,0.073206,0.19988,0.29139,0.25863,0.35382,0.28347,0.40774,1966
0.24573,0.46966,0.26875,0.21848,0.16967,0.4125,0.65228,0.6614,0.27981,0.33421,0.18894,0.22045,0.4141,0.15016,0.17315,0.087329,0.2361,0.27652,0.47769,0.24526,0.30068,0.35138,1967
0.2826,0.52705,0.33481,0.20412,0.16353,0.3503,0.62986,0.59798,0.3282,0.32671,0.38037,0.34435,0.46056,0.19405,0.21401,0.078247,0.21966,0.25038,0.63442,0.27292,0.254,0.39969,1968
