"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.41139,0.34854,0.32846,0.39327,0.3281,0.51775,0.91528,0.84252,0.48976,0.31529,0.45021,0.55647,0.38128,0.47804,0.57626,0.39086,0.25313,0.38005,0.80994,0.47227,0.41045,0.36682,1950
0.18347,0.48578,0.3725,0.38111,0.52237,0.52033,0.86793,0.81395,0.55738,0.56411,0.18955,0.46207,0.46931,0.47089,0.60609,0.32687,0.1835,0.29494,0.95328,0.57669,0.54875,0.55618,1951
0.38958,0.48739,0.26415,0.39517,0.26184,0.62548,0.88165,1.0776,0.33432,0.30112,0.41768,0.55903,0.35242,0.35967,0.64212,0.31083,0.42938,0.28466,0.66552,0.49085,0.27182,0.69623,1952
0.31052,0.38567,0.2991,0.38177,0.43158,0.73174,0.75092,0.87837,0.26632,0.29288,0.40447,0.46671,0.55324,0.40345,0.58617,0.38849,0.26346,0.2906,1.0256,0.52938,0.34469,0.35351,1953
0.40083,0.47282,0.26043,0.46341,0.32937,0.60725,0.86544,0.79448,0.68344,0.27199,0.43783,0.50588,0.49069,0.46505,0.49309,0.21097,0.38639,0.34569,0.95088,0.43841,0.30814,0.45361,1954
0.35338,0.46061,0.30591,0.37451,0.53041,0.65564,0.88848,0.93806,0.32432,0.302,0.29686,0.45277,0.51601,0.4981,0.52411,0.21984,0.26145,0.22997,0.80709,0.44136,0.37419,0.62484,1955
0.31511,0.44455,0.305,0.50587,0.25229,0.365,0.88681,0.92651,0.47653,0.30561,0.20145,0.47604,0.4524,0.33567,0.67278,0.45724,0.31686,0.28184,0.67176,0.30676,0.30021,0.44902,1956
0.20684,0.22652,0.46542,0.56948,0.3182,0.41359,0.86403,0.7651,0.55229,0.35969,0.35845,0.31053,0.46174,0.33369,0.54131,0.23502,0.19205,0.18653,0.90195,0.34866,0.55369,0.40177,1957
0.4552,0.54206,0.53267,0.47355,0.49425,0.52668,0.65026,0.7988,0.62725,0.34267,0.28476,0.57489,0.45984,0.42423,0.45279,0.25833,0.16918,0.25531,0.7855,0.50745,0.42276,0.51781,1958
0.37017,0.37549,0.37393,0.39124,0.32091,0.67024,0.94031,1.0113,0.51935,0.31257,0.38198,0.53036,0.58561,0.31975,0.63146,0.20078,0.3183,0.30763,0.73731,0.56216,0.43962,0.41751,1959
0.37786,0.36358,0.43452,0.46902,0.22422,0.5758,0.7916,0.98865,0.35034,0.32249,0.45056,0.43834,0.48469,0.34247,0.67209,0.23199,0.35652,0.32832,0.69995,0.48068,0.3177,0.27742,1960
0.26878,0.33585,0.30532,0.36285,0.381,0.4173,0.87591,0.65753,0.30557,0.40784,0.27907,0.48953,0.47279,0.34682,0.49009,0.36824,0.27751,0.27708,0.36186,0.3878,0.40355,0.4199,1961
0.49897,0.26251,0.35728,0.54085,0.54288,0.29965,0.96433,0.87862,0.30115,0.28944,0.33316,0.50427,0.45571,0.38561,0.63268,0.27315,0.28265,0.15953,0.77144,0.56485,0.6616,0.5268,1962
0.31972,0.26626,0.26399,0.43204,0.36115,0.48643,0.82114,0.76584,0.38528,0.44563,0.47535,0.42994,0.50657,0.46065,0.6154,0.33779,0.4227,0.26859,0.88951,0.41866,0.45901,0.45911,1963
0.33994,0.28993,0.40351,0.45438,0.44124,0.51838,0.7593,0.78701,0.52248,0.3,0.25742,0.43042,0.41269,0.30119,0.53319,0.32528,0.1121,0.27086,0.92533,0.55486,0.38527,0.44996,1964
0.25087,0.50017,0.34659,0.43767,0.36951,0.37456,0.81602,0.73693,0.36053,0.29809,0.37146,0.43052,0.26195,0.38462,0.56699,0.21075,0.22392,0.23866,0.61331,0.53272,0.48355,0.23954,1965
0.38555,0.43555,0.2305,0.36464,0.44051,0.67995,0.66937,0.66708,0.39611,0.46528,0.2682,0.36955,0.40488,0.36551,0.59147,0.3136,0.27893,0.2838,0.85557,0.47975,0.35196,0.63051,1966
0.45036,0.3888,0.44124,0.38212,0.37004,0.51871,0.86081,0.87465,0.50696,0.45073,0.43772,0.41399,0.49421,0.36818,0.58826,0.27941,0.24286,0.25337,0.94208,0.48756,0.32493,0.56937,1967
0.39393,0.49123,0.5262,0.41134,0.51324,0.44235,0.81182,0.93244,0.22199,0.46258,0.46195,0.49873,0.47039,0.44079,0.4811,0.21525,0.18529,0.21856,0.68558,0.23196,0.42875,0.52831,1968
0.38104,0.32193,0.30145,0.44705,0.536,0.44142,0.58702,1.0229,0.28872,0.3463,0.2877,0.51995,0.40966,0.41978,0.68922,0.20998,0.24718,0.30211,0.68693,0.4846,0.31096,0.22265,1969
0.39216,0.59937,0.41421,0.43438,0.32239,0.68326,0.87124,0.91342,0.47058,0.28908,0.38144,0.41251,0.37133,0.33935,0.54365,0.26792,0.21697,0.1756,0.64557,0.36642,0.2282,0.38104,1970
0.26821,0.35083,0.29014,0.49799,0.2971,0.47381,1.0623,0.99165,0.52111,0.37414,0.21045,0.47906,0.43217,0.37794,0.4985,0.32228,0.21189,0.17488,1.1392,0.56735,0.29102,0.35713,1971
0.4818,0.2936,0.39571,0.34514,0.51729,0.60036,0.63427,0.84306,0.52827,0.23854,0.18015,0.3046,0.38519,0.39736,0.49484,0.26537,0.28863,0.24321,0.8819,0.50389,0.32014,0.51638,1972
0.25557,0.4693,0.35681,0.57251,0.39886,0.51207,1.0094,0.82798,0.36971,0.35339,0.38486,0.25752,0.40594,0.60091,0.44939,0.24054,0.27532,0.25243,0.93734,0.34391,0.3844,0.42174,1973
0.29185,0.41226,0.36684,0.42439,0.44878,0.4993,1.0674,0.9765,0.16215,0.18401,0.46098,0.41635,0.45785,0.42122,0.68244,0.26011,0.14591,0.28602,1.1299,0.478,0.44605,0.52244,1974
0.37975,0.5254,0.39222,0.3829,0.19175,0.33775,0.79268,0.69495,0.2666,0.3136,0.52302,0.48646,0.62292,0.39802,0.39709,0.25935,0.18561,0.21035,0.78853,0.21476,0.35347,0.25006,1975
0.36582,0.51597,0.28361,0.46955,0.48131,0.59831,0.61996,0.64378,0.61837,0.26346,0.41234,0.45444,0.44688,0.3853,0.44664,0.38423,0.15431,0.21855,0.92645,0.59638,0.39431,0.44603,1976
0.25071,0.41169,0.41093,0.38116,0.51223,0.61167,0.95641,0.92542,0.35796,0.35622,0.42009,0.23916,0.37206,0.36067,0.67035,0.23992,0.19071,0.28174,0.82829,0.47396,0.45717,0.45381,1977
0.30085,0.54243,0.22288,0.56776,0.33504,0.44112,0.94323,0.88316,0.41361,0.35553,0.27172,0.45326,0.23186,0.55506,0.68551,0.25831,0.32645,0.21998,0.8779,0.72481,0.23378,0.5532,1978
0.31546,0.31741,0.48193,0.38588,0.29428,0.33681,0.73147,0.77412,0.49934,0.3183,0.1817,0.50818,0.47754,0.454,0.45435,0.15445,0.34139,0.27991,0.92349,0.56092,0.24035,0.56089,1979
0.33675,0.59729,0.28759,0.41923,0.58625,0.81853,0.91499,0.89619,0.29413,0.44459,0.27236,0.51801,0.36455,0.44847,0.65051,0.36591,0.24822,0.31555,0.8509,0.32195,0.27476,0.4805,1980
0.39342,0.46842,0.37922,0.2713,0.51768,0.84449,0.69901,0.9126,0.41135,0.28406,0.28958,0.29771,0.35431,0.48617,0.60377,0.27061,0.24288,0.27368,0.80651,0.39773,0.2405,0.52226,1981
0.38662,0.1112,0.29482,0.57625,0.3814,0.46667,0.95444,0.77468,0.50971,0.20959,0.43467,0.40502,0.46753,0.33021,0.57831,0.4144,0.24638,0.27915,0.66967,0.47662,0.49012,0.30889,1982
0.18312,0.43943,0.27374,0.5579,0.44164,0.44006,0.63901,1.1419,0.4485,0.5192,0.25921,0.39672,0.31046,0.49396,0.53588,0.37307,0.3285,0.236,0.62681,0.28588,0.30302,0.59482,1983
0.34485,0.42994,0.38586,0.37951,0.48258,0.44509,0.68961,0.68166,0.2652,0.45077,0.34678,0.51458,0.32491,0.41977,0.55868,0.30741,0.20571,0.13123,0.92511,0.50454,0.63361,0.28531,1984
0.35837,0.46825,0.34777,0.40022,0.43244,0.50517,0.94287,0.98017,0.54124,0.36742,0.42447,0.4391,0.30133,0.47293,0.63102,0.24674,0.39823,0.27112,0.67903,0.55967,0.22617,0.36365,1985
0.44136,0.43675,0.44454,0.43143,0.39106,0.61779,0.96079,0.5294,0.37445,0.3279,0.29811,0.39396,0.31192,0.32501,0.72308,0.28439,0.1581,0.22649,0.77402,0.47045,0.32317,0.58677,1986
0.35702,0.42245,0.28075,0.53361,0.51546,0.56238,0.89234,1.0954,0.31868,0.33851,0.47817,0.52204,0.5216,0.39278,0.57412,0.091901,0.29224,0.40088,1.1803,0.26019,0.6592,0.46858,1987
0.29199,0.47568,0.41306,0.37753,0.52582,0.57976,0.75618,1.0194,0.27789,0.42218,0.40631,0.50492,0.31189,0.49466,0.49652,0.2783,0.33655,0.22544,0.88946,0.45335,0.51095,0.44113,1988
0.37171,0.43124,0.43974,0.43797,0.36741,0.47468,0.78836,0.61753,0.052384,0.48002,0.43478,0.35122,0.38576,0.5544,0.47208,0.22003,0.2907,0.19035,0.67434,0.41635,0.30784,0.62374,1989
0.41426,0.41073,0.39015,0.57055,0.47742,0.55106,0.87281,0.84238,0.50552,0.35967,0.39285,0.36573,0.4315,0.46088,0.56212,0.41414,0.32351,0.31549,0.84525,0.38598,0.42735,0.54851,1990
0.50679,0.57372,0.41395,0.50492,0.47253,0.50026,0.74031,0.89149,0.30171,0.374,0.54752,0.46104,0.25327,0.42266,0.67103,0.2649,0.40284,0.28877,0.77138,0.62806,0.42339,0.29136,1991
0.32364,0.40819,0.41106,0.5375,0.4154,0.40935,0.6967,0.90344,0.36928,0.24409,0.44608,0.39464,0.36196,0.45386,0.58215,0.46482,0.23417,0.29291,0.81382,0.59672,0.52806,0.37478,1992
0.32692,0.46052,0.39665,0.44829,0.39775,0.35327,0.71004,0.77287,0.41877,0.43836,0.39281,0.39002,0.27633,0.37642,0.70694,0.35678,0.34354,0.25898,0.66979,0.43361,0.30846,0.46121,1993
