"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.32991,0.23282,0.15506,0.1522,0.35363,0.73326,0.48199,0.57525,0.33237,0.30148,0.13128,0.38193,0.45755,0.15394,0.3195,0.38392,0.063201,0.035445,0.71478,0.66667,0.3428,0.017082,1950
0.16865,0.48739,0.075028,0.13462,0.50239,0.63458,0.40501,0.69431,0.47997,0.24059,0.19593,0.12689,0.36625,0.29372,0.42024,0.18573,0.017685,0.11346,0.71047,0.55959,0.6434,0.42965,1951
0.22445,0.39423,0.16171,0.36534,0.35815,0.63907,0.46073,0.39124,0.3928,0.35971,0.26134,0.2851,0.28565,0.1225,0.13913,0.25303,0.029823,-0.049017,1.0942,0.7408,0.38027,0.33212,1952
0.13883,0.38135,0.28616,0.13808,0.41793,0.4652,0.49172,0.55094,0.55553,0.24099,0.24498,0.30972,0.24416,0.25241,0.52753,0.17851,-0.10373,-0.03034,0.73941,0.36965,0.55736,0.52034,1953
0.27343,0.44395,0.092,0.18933,0.43561,0.56125,0.4148,0.53972,0.55175,0.27661,0.15118,0.30876,0.49927,0.37475,0.36673,0.011326,-0.0071163,0.038615,0.67856,0.51638,0.37582,0.40555,1954
0.3302,0.44663,0.085028,0.10822,0.58373,0.3069,0.41956,0.10643,0.52404,0.12055,0.28065,0.53319,0.26278,0.28354,0.19305,0.15297,0.08244,-0.0098452,0.87525,0.57137,0.15951,0.25744,1955
0.4601,0.42598,0.078556,0.22632,0.37408,0.15902,0.29585,0.46554,0.32408,0.23287,0.16646,0.40492,0.29242,0.423,0.35812,0.27171,0.06887,-0.050782,1.0429,0.46052,0.31087,0.39871,1956
0.44484,0.41909,-0.051425,0.32026,0.43679,0.3277,0.53694,0.57542,0.39552,0.36959,0.2366,0.37952,0.25134,0.3652,0.33267,0.23241,0.070428,-0.058573,0.52587,0.3922,0.85403,0.30477,1957
0.30746,0.14289,0.13312,0.31051,0.37234,0.36479,0.55705,0.082753,0.57972,0.36416,0.2664,0.39044,0.31924,0.15617,0.13973,0.22109,0.0071078,0.02104,0.81218,0.23311,0.50252,0.40533,1958
0.15864,0.33125,-0.061382,0.2454,0.077639,0.254,0.29641,0.63219,0.56494,0.27508,0.011028,0.37435,0.36915,0.1915,0.28095,0.27405,-0.080047,0.041451,0.62751,0.53493,0.2429,0.21769,1959
0.332,0.2796,0.21547,-0.034222,0.643,0.48727,0.48005,0.32285,0.47675,0.26506,0.2469,0.37871,0.68966,0.20632,0.28632,0.31509,0.027713,0.023248,0.72666,0.50771,0.24873,0.5193,1960
0.44555,0.40911,0.026772,0.09796,0.013865,0.61506,0.39328,0.66656,0.52789,0.25813,0.18841,0.21292,0.044712,0.21239,0.36562,0.34248,0.066191,0.010635,0.85237,0.8241,0.42393,0.57469,1961
0.2212,-0.012778,0.10929,0.24856,0.61874,0.20014,0.35779,0.26687,0.37449,0.20702,0.2359,0.39627,0.29338,0.48403,0.19674,0.27808,-0.05537,0.035793,0.83795,0.33882,0.46459,0.062306,1962
0.41031,0.28567,0.031113,0.11179,0.47909,0.53221,0.67017,0.52422,0.3807,0.18972,0.25933,0.45647,0.30631,0.26625,0.43386,0.40232,0.037127,0.029265,0.71126,0.54013,0.42778,0.458,1963
0.55141,0.46539,0.049489,0.15614,0.43665,0.5925,0.66886,0.53231,0.36949,0.30975,0.13542,0.35315,0.29309,0.41608,0.25282,0.27248,0.081942,-0.0097107,1.085,0.011898,0.39275,0.35706,1964
0.26854,0.37391,0.01807,0.26364,0.25057,0.36842,0.56888,0.13261,0.33482,0.27827,0.36127,0.3064,0.23232,0.11317,0.16797,0.37108,0.1113,-0.044594,0.66843,0.39358,0.25189,0.56203,1965
0.46592,0.52335,0.030765,-0.035148,0.35825,0.42206,0.46206,0.58805,0.47672,0.27858,0.2333,0.567,0.14536,0.33863,0.081096,0.20505,0.025358,0.0033455,0.93212,0.75302,0.39607,0.57375,1966
0.5409,0.13461,0.2348,0.26665,0.23499,0.50463,0.71583,0.52849,0.66983,0.31852,0.30318,0.37811,0.45423,0.13135,0.29069,0.31614,0.039646,-0.021349,0.86556,0.71637,0.71227,0.2881,1967
0.26903,0.29394,0.085282,0.28263,0.4959,0.33155,0.39878,0.57317,0.51288,0.19465,0.25629,0.39805,0.31581,0.03495,0.3869,0.40699,0.046496,-0.022538,0.78626,0.68821,0.28552,0.47486,1968
0.32851,0.17813,0.23012,0.17962,0.36382,0.35732,0.29826,0.70712,0.54353,0.23675,0.16735,0.43516,0.24,0.14874,0.12526,0.3445,-0.062841,0.087618,0.89597,0.55331,0.30126,0.41096,1969
0.44579,0.57277,0.097338,0.24139,0.38945,0.42863,0.37547,0.6928,0.32587,0.28779,0.16598,0.19751,0.34357,0.16682,0.42389,0.089384,0.070115,0.042971,0.98958,0.59034,0.42667,0.37443,1970
0.2977,0.34666,0.1057,0.28149,0.50339,0.32083,0.41059,0.53005,0.32747,0.15362,0.32314,0.17188,0.35211,0.13347,0.56499,0.10849,-0.03282,0.023421,0.98005,0.34495,0.43088,0.25098,1971
0.63404,0.36493,0.11116,0.21789,0.32831,0.46623,0.29842,0.44034,0.4921,0.20825,0.3259,0.32943,0.44308,0.091519,0.33562,0.24573,-0.0001622,-0.0093952,0.75695,0.86536,0.6427,0.45389,1972
0.42989,0.35556,0.034792,0.28001,0.5072,0.20017,0.51275,0.31904,0.51353,0.27448,0.15359,0.39145,0.29136,0.18155,0.28302,0.27953,0.030228,0.07058,1.0669,0.75357,0.23629,0.2866,1973
0.47435,0.28635,0.04302,0.12053,0.2948,0.30034,0.417,0.75446,0.33149,0.31317,0.16885,0.29584,0.34175,0.33384,0.45039,0.25335,0.08602,-0.034443,1.0866,0.54369,0.27203,0.40323,1974
0.25363,0.59212,0.04384,0.34414,0.3601,0.52706,0.40338,0.61345,0.28556,0.27177,0.18735,0.30705,0.45545,0.16463,0.51439,0.30583,0.10591,0.11061,0.58365,0.4262,0.34881,0.55098,1975
0.41328,0.30402,0.15781,0.31558,0.36562,0.74578,0.55333,0.46948,0.52225,0.28087,0.20761,0.43849,0.30274,0.36109,0.5182,0.15429,0.10494,-0.047521,0.53022,0.53691,0.48269,0.14365,1976
0.39636,0.45773,0.15879,0.20606,0.42722,0.53938,0.57783,0.58609,0.54758,0.41815,0.28809,0.54153,0.24958,0.28939,0.37786,0.20404,0.04792,0.0012368,0.91458,0.73623,0.39749,0.54765,1977
0.30312,0.3659,0.021716,0.21077,0.34337,0.38383,0.67772,0.76089,0.27414,0.21129,0.13376,0.26091,0.29272,0.46871,0.2499,0.20481,0.038758,0.009282,1.0036,0.68751,0.53042,0.61292,1978
0.42235,0.22645,0.11873,0.37671,0.51525,0.42894,0.5997,0.46239,0.36786,0.23934,0.21956,0.37634,0.26113,0.44057,0.40028,0.44324,-0.0169,0.079033,0.77991,0.2606,0.49561,0.39214,1979
0.3184,0.62318,0.12906,0.26754,0.5048,0.15687,0.40664,0.69004,0.3984,0.38601,0.23819,0.34062,0.39295,0.2006,0.39416,0.27781,-0.05786,0.0031718,0.93927,0.17549,0.49378,0.38577,1980
0.25205,0.59607,0.1536,0.28838,0.51028,0.23226,0.46013,0.59085,0.38696,0.37957,0.24315,0.31436,0.31221,0.12775,0.45618,0.53081,0.089412,0.052406,0.61773,0.54399,0.41339,0.42207,1981
0.32955,0.28719,0.083285,0.28864,0.57156,0.51111,0.58583,0.44425,0.39688,0.18529,0.096008,0.33175,0.3559,0.17903,0.3221,0.27717,0.011679,-0.021131,1.0803,0.49025,0.49295,0.43262,1982
0.3964,0.38028,0.087757,0.17224,0.44121,0.43236,0.34203,0.48071,0.33792,0.47291,0.20851,0.33216,0.14694,0.26537,0.51736,0.31154,0.060378,0.13034,0.86317,0.49055,0.3817,0.57052,1983
0.35801,0.20761,0.13169,0.33972,0.11152,0.44392,0.52963,0.74998,0.34994,0.22696,0.26214,0.27079,0.25093,0.33278,0.1597,0.15566,-0.019795,0.026875,1.0574,0.5112,0.44142,0.52192,1984
0.48049,0.6012,0.14559,0.30972,0.44062,0.54497,0.46012,0.46524,0.56892,0.20056,0.22435,0.1731,0.31241,0.35611,0.25944,0.19631,0.0047542,-1.9229e-05,0.80659,0.59198,0.52073,0.5769,1985
0.33865,-0.0020085,0.12583,0.095417,0.32812,0.65692,0.66754,0.6084,0.24035,0.42165,0.27898,0.39189,0.35368,0.13945,0.40047,0.34356,0.074144,0.067144,0.7376,0.55295,0.65247,0.42435,1986
0.48331,0.28194,0.11824,0.12536,0.51887,0.4873,0.43096,0.60937,0.46444,0.28879,0.15602,0.38796,0.33113,0.48113,0.31211,0.40299,0.015978,0.039757,1.3441,0.85981,0.15588,0.50762,1987
0.274,0.64401,0.13745,0.17147,0.39267,0.53428,0.62101,0.72713,0.42719,0.3546,0.2972,0.28904,0.51871,0.26179,0.18196,0.31768,0.035649,0.073235,0.79756,0.54645,0.49185,0.40097,1988
0.27778,0.59355,0.092812,0.02059,0.58957,0.6408,0.57771,0.50115,0.40439,0.39851,0.32258,0.30269,0.43549,0.32222,0.39261,0.24368,-0.034809,0.096954,0.93471,0.5971,0.45672,0.34853,1989
0.31674,0.38661,0.27731,0.04607,0.47471,0.61942,0.38746,0.51268,0.57833,0.23223,0.15333,0.55079,0.24171,0.36406,0.25386,0.16876,0.11754,0.025308,0.92343,1.0172,0.25705,0.47438,1990
0.16806,0.52934,0.096325,0.035761,0.42946,0.64476,0.51957,0.88988,0.41019,0.28248,0.27922,0.26739,-0.12088,0.40321,0.45733,0.28158,0.042429,0.043341,0.93131,0.34371,0.5048,0.29945,1991
0.33496,0.56612,0.1056,0.27607,0.46093,0.60711,0.63524,0.66159,0.30266,0.16979,0.17059,0.50081,0.40413,0.46733,0.26244,0.37713,0.02849,0.098593,0.57877,0.59287,0.46464,0.30653,1992
0.24864,0.40359,0.13488,0.30001,0.33621,0.39511,0.65449,0.6477,0.60507,0.34995,0.32218,0.37712,0.16519,0.50969,0.58501,0.42877,0.0024989,0.096496,0.91582,0.48207,0.32177,0.69978,1993
0.32767,0.59655,0.18906,0.11936,0.52358,0.55083,0.71742,0.54906,0.44945,0.4376,0.30076,0.35824,0.41091,0.49492,0.25948,0.44082,-0.0398,0.034165,0.78295,0.35092,0.1729,0.51106,1994
0.64725,0.23878,0.077907,0.28606,0.33844,0.36129,0.64079,0.52517,0.46029,0.16564,0.17158,0.31457,0.32993,0.491,0.21287,0.22334,0.066252,0.087728,1.1731,0.16588,0.20766,0.61357,1995
0.66621,0.4036,0.19955,0.13827,0.22975,0.19027,0.6029,0.52016,0.46429,0.31178,0.1698,0.51565,0.25937,0.078225,0.37221,0.24865,0.07588,0.12214,0.76076,0.43807,0.50785,0.42063,1996
0.26534,0.40089,0.10372,0.20727,0.40352,0.36345,0.46042,0.52816,0.54463,0.32797,0.20499,0.29278,0.27133,0.28208,0.28434,0.23415,0.085877,0.038462,0.96916,0.73139,0.36395,0.22651,1997
0.40132,0.38172,0.061615,0.18697,0.50346,0.59021,0.68242,0.54107,0.474,0.28905,0.39125,0.24792,0.37245,0.32863,0.47029,0.18172,0.12884,0.11466,0.93559,0.57504,0.2267,0.45897,1998
0.23239,0.43859,0.14166,0.07253,0.53762,0.50579,0.56765,0.55901,0.5499,0.36449,0.35093,0.4112,0.19752,0.35502,0.3292,0.341,0.039604,0.074005,0.9312,0.65992,0.30541,0.43397,1999
0.55997,0.49291,0.21424,0.00057861,0.38032,0.51819,0.46178,0.14656,0.49478,0.27368,0.21784,0.32648,0.32736,0.45241,0.38126,0.15101,0.11529,0.11331,1.1612,0.74718,0.39802,0.58676,2000
0.41875,0.43801,0.24311,0.26373,0.44617,0.48069,0.5566,0.46013,0.55393,0.28158,0.33553,0.32212,0.29563,0.0051894,0.37443,0.42446,0.051628,0.042471,0.59263,0.62859,0.39196,0.69614,2001
