"year","popsize"
1950,2525779000
1951,2572851000
1952,2619292000
1953,2665865000
1954,2713172000
1955,2761651000
1956,2811572000
1957,2863043000
1958,2916030000
1959,2970396000
1960,3026003000
1961,3082830000
1962,3141072000
1963,3201178000
1964,3263739000
1965,3329122000
1966,3397475000
1967,3468522000
1968,3541675000
1969,3616109000
1970,3691173000
1971,3766754000
1972,3842874000
1973,3919182000
1974,3995305000
1975,4071020000
1976,4146136000
1977,4220817000
1978,4295665000
1979,4371528000
1980,4449049000
1981,4528235000
1982,4608962000
1983,4691560000
1984,4776393000
1985,4863602000
1986,4953377000
1987,5045316000
1988,5138215000
1989,5230452000
1990,5320817000
1991,5408909000
1992,5494900000
1993,5578865000
1994,5661086000
1995,5741822000
1996,5821017000
1997,5898688000
1998,5975304000
1999,6051478000
2000,6127700000
2001,6204147000
2002,6280854000
2003,6357992000
2004,6435706000
2005,6514095000
2006,6593228000
2007,6673106000
2008,6753649000
2009,6834722000
2010,6916183000
