"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1881,13.87,13.84,13.98,13.98,13.98,13.75,13.89,13.93,13.83,13.78,13.73,13.83
1882,14.03,14.05,13.99,13.77,13.81,13.69,13.74,13.9,13.89,13.75,13.75,13.63
1883,13.62,13.62,13.88,13.81,13.8,13.93,13.98,13.87,13.81,13.81,13.72,13.8
1884,13.81,13.86,13.7,13.65,13.67,13.65,13.69,13.76,13.72,13.75,13.71,13.75
1885,13.44,13.72,13.82,13.64,13.66,13.61,13.73,13.76,13.83,13.86,13.87,14.02
1886,13.63,13.58,13.67,13.77,13.79,13.71,13.89,13.8,13.88,13.78,13.73,13.84
1887,13.42,13.58,13.75,13.68,13.72,13.75,13.82,13.72,13.77,13.68,13.72,13.61
1888,13.58,13.6,13.62,13.76,13.74,13.8,13.9,13.87,13.9,13.97,13.99,13.91
1889,13.83,14.16,14.08,14.08,13.99,13.91,13.88,13.82,13.82,13.79,13.69,13.71
1890,13.6,13.64,13.64,13.67,13.57,13.72,13.76,13.68,13.69,13.8,13.56,13.71
1891,13.58,13.51,13.82,13.73,13.8,13.74,13.75,13.79,13.84,13.73,13.6,13.88
1892,13.65,13.86,13.65,13.62,13.66,13.7,13.66,13.72,13.8,13.83,13.53,13.57
1893,13.16,13.42,13.73,13.65,13.56,13.66,13.83,13.72,13.77,13.79,13.8,13.64
1894,13.46,13.67,13.76,13.54,13.63,13.6,13.75,13.79,13.75,13.78,13.66,13.74
1895,13.5,13.51,13.71,13.77,13.7,13.74,13.82,13.82,13.91,13.88,13.85,13.81
1896,13.69,13.8,13.67,13.61,13.76,13.83,13.91,13.9,13.93,14.03,13.84,13.87
1897,13.79,13.78,13.77,13.88,13.88,13.77,13.87,13.82,13.86,13.81,13.75,13.72
1898,13.87,13.61,13.43,13.65,13.63,13.75,13.73,13.73,13.76,13.64,13.6,13.74
1899,13.79,13.61,13.64,13.79,13.74,13.64,13.8,13.86,13.93,13.93,14.06,13.71
