"treatment","mortality"
"control",1.45287766933472
"control",3.26625256848005
"control",1.17865197053252
"control",13.4003496799869
"control",3.77918270942276
"control",1.19665673682759
"control",4.42570263058927
"control",5.68780668311483
"control",4.83451760105434
"control",2.00293101017655
"control",12.3268667443891
"control",4.01422072002186
"control",1.46047163241811
"control",0.296799074137231
"control",8.37231909279976
"control",2.5988431169459
"control",2.67462647985993
"control",6.98549747527935
"control",6.17940009714273
"control",4.92291739492628
"control",6.81398672885831
"control",5.94253791611656
"control",2.92871858207706
"control",0.371817663831304
"control",5.05220988164903
"control",2.5699109807609
"control",2.32612662902177
"control",0.624532203495798
"control",1.6851421881306
"control",4.12861318571811
"t1",17.4384851061589
"t1",4.04391091772224
"t1",6.60397414870242
"t1",4.24692401372085
"t1",1.13081707106345
"t1",2.95945590837064
"t1",3.0213690192132
"t1",4.22359475572213
"t1",13.4640796410797
"t1",9.61357102314001
"t1",3.80180671001753
"t1",3.47862924078776
"t1",8.99764948960895
"t1",7.81983299877378
"t1",2.25070681177201
"t1",2.20892250654648
"t1",6.45323762437574
"t1",9.66521081387886
"t1",4.00544140467701
"t1",10.816878372238
"t1",6.67324254423926
"t1",2.43020011727381
"t1",6.30359238940763
"t1",1.44865697621004
"t1",18.7843429624426
"t1",32.4727052660287
"t1",3.10426981516982
"t1",1.57753795234628
"t1",7.9226015263747
"t1",3.91550924415527
"t2",81.5827433054052
"t2",7.1047245851129
"t2",14.7278367928669
"t2",7.59888980840679
"t2",3.51390091135044
"t2",8.92442856704321
"t2",1.21536126629303
"t2",31.9942072048043
"t2",8.61283332632378
"t2",64.8846884342005
"t2",11.8877627288755
"t2",3.63298116599234
"t2",13.6089321580912
"t2",2.90345779075041
"t2",2.1093220652281
"t2",9.88922949895661
"t2",4.743181564975
"t2",7.39722811979201
"t2",7.95930213198465
"t2",4.09791805719168
"t2",4.18426586155897
"t2",6.4547828611804
"t2",24.0007960026063
"t2",1.61032045501144
"t2",13.3824773078897
"t2",10.3083100530513
"t2",21.3937716928457
"t2",5.45109265843118
"t2",10.6975935030569
"t2",9.65135954357679
"t3",1.58008709511217
"t3",9.09630062353749
"t3",8.67462949746526
"t3",5.47511702287368
"t3",13.2876290338486
"t3",4.7516238632226
"t3",0.758363688361281
"t3",1.53224592786626
"t3",0.798825611969237
"t3",1.69316466988141
"t3",1.46174850127176
"t3",2.83520961620841
"t3",1.09316630413332
"t3",3.18365138516569
"t3",1.41257652008295
"t3",15.91540120054
"t3",5.56617150731888
"t3",6.75426548828793
"t3",3.99157287636515
"t3",14.6168661909269
"t3",1.43945352646525
"t3",1.71318681334537
"t3",11.384835363001
"t3",1.41807972018687
"t3",2.20917525125118
"t3",1.83527084589592
"t3",1.97389180889394
"t3",2.05625567832555
"t3",4.45571851732343
"t3",2.27656907446908
"t4",2.00179151655565
"t4",12.7182608784274
"t4",2.67893838609461
"t4",2.77442486526228
"t4",3.00359306031891
"t4",6.77111863266906
"t4",3.08464197109994
"t4",3.1974890455823
"t4",1.67923699607186
"t4",2.40062645870577
"t4",3.52598715289726
"t4",1.84246714604709
"t4",5.64909972996142
"t4",0.727316109898767
"t4",4.51117594309286
"t4",0.714301723810573
"t4",2.45720339795551
"t4",1.95760168825194
"t4",1.72962603312537
"t4",3.13648649299904
"t4",0.489505576088558
"t4",10.7680488773141
"t4",0.628152419211132
"t4",2.08854906690259
"t4",1.08771579334407
"t4",1.56702826177785
"t4",26.7669132783035
"t4",3.37837768592972
"t4",0.917318507661043
"t4",0.643646552914568
